
num2    type1   type2   ukn7        vert
0x1     0x1015  0x2     0x2d881005  9
0x1     0x1015  0x2     0x2d881105  9
0x1     0x1015  0x2     0x2d881205  9
0x1     0x1005  0x2     0x5         6
0x2     0x1005  0x1     0x1005      8
0x2     0x1005  0x1     0x201005    8
0x2     0x1505  0x1     0x1005      14


 num2:0x3 t1:0x1005 t2:0 ukn7:0 vp 3
 num2:0x2 t1:0x1505 t2:0x1 ukn7:0x107055 vp 14
 num2:0x2 t1:0x1505 t2:0x1 ukn7:0x203005 vp 14
 num2:0x2 t1:0x1505 t2:0x1 ukn7:0x203405 vp 14
 num2:0x2 t1:0x1505 t2:0x1 ukn7:0x207005 vp 14
 num2:0x2 t1:0x1505 t2:0x1 ukn7:0x207015 vp 14
 num2:0x2 t1:0x1505 t2:0x1 ukn7:0x207405 vp 14
 num2:0x2 t1:0x1505 t2:0x1 ukn7:0x207415 vp 14
 num2:0x2 t1:0x1505 t2:0x1 ukn7:0x287015 vp 14
 num2:0x2 t1:0x1505 t2:0x1 ukn7:0x307055 vp 14
 num2:0x2 t1:0x1505 t2:0x1 ukn7:0x4407015 vp 14
 num2:0x2 t1:0x1505 t2:0x1 ukn7:0x4507055 vp 14
 num2:0x2 t1:0x1505 t2:0x1 ukn7:0x7015 vp 14
 num2:0x2 t1:0x1505 t2:0x1 ukn7:0x7415 vp 14
 num2:0x2 t1:0x1505 t2:0x1 ukn7:0x87015 vp 14
 num2:0x2 t1:0x1505 t2:0x1 ukn7:0x1005 vp 14
 num2:0x2 t1:0x1505 t2:0x1 ukn7:0x1405 vp 14



